,ID,Tweet
38,38,"Emiten aviso por probabilidad de lluvias con actividad eléctrica y ráfagas de vientos para Colón, Comarca Guna Yala, Panamá Este, Oeste, Centro y Norte, Coclé, Veraguas, Los Santos, Chiriquí, Bocas del Toroy la Comarca Ngäbe Buglé. @Etesatransmite @Sinaproc_Panama #TReporta https://t.co/OPsI09fPxW"
39,39,VÍDEO| Protestan en Nuevo Emperador por falta de agua https://t.co/0rMwj4AsyB #Panamá https://t.co/fMZZ9J2i4W
40,40,Bomberos de Bocas del Toro realizan la remoción de un árbol que cayó sobre la vía en el área de Boca del Drago. @BCBRP #TReporta https://t.co/SxmUdQa5Dj
41,41,"Defensa de Ricardo Alberto Martinelli Linares pidió a la Dirección de Gestión Penal en Guatemala, un plazo para solicitar al @PARLACEN documento que haga constar que Linares es diputado de ese ente. @Sosegueda2287 @CanalAntigua #TReporta https://t.co/tdp8Fjvvxh"
42,42,"El caso de extradición de los hermanos Martinelli Linares sigue en suspenso en Guatemala, mientras que sus abogados en Panamá insisten en que la detención fue ilegal. #TReporta https://t.co/Zt5N0Ok0Pm"
43,43,"A su máxima capacidad están los hospitales privados del país, por lo que han tenido que reinventarse, señaló el exministro de Salud, José Manuel Terán. Esta situación preocupa al personal de salud por el aumento de los casos de coronavirus en Panamá. #TReporta https://t.co/5WHfjugWk9"
44,44,Encuentran un cuerpo en el lago donde desapareció la actriz Naya Rivera https://t.co/PFkWmYiotw
45,45,"Unas 50 camas serán habilitadas en el Hospital Rafael Hernández en David, provincia de Chiriquí. La medida busca reforzar la capacidad hospitalaria, ante el aumento de los casos de COVID-19. #TReporta https://t.co/ly7iaWLgvz"
46,46,Defensa de Ricardo Martinelli Linares solicita plazo para pedir documentación al Parlacen https://t.co/2AGGVV7Fdv https://t.co/8yCwlrE1P1
47,47,La Policía del Condado de Ventura (EE.UU.) encuentra un cuerpo en el lago donde desapareció la actriz Naya Rivera. @EFEnoticias #InternacionalesTR https://t.co/KPIEIU69Rn
48,48,"Realizan una jornada de limpieza profunda en el centro de acopio del Plan Panamá Solidario, en la provincia de Coclé. #TReporta https://t.co/4f4n3vOTpa"
49,49,"Trabajadores de la sección de aseo del Complejo Hospitalario de la Caja de Seguro Social, protestaron. Solicitan la dotación de insumos que les permita realizar sus labores con la mayor seguridad en medio de la pandemia. #TReporta https://t.co/9gUMvfZtti"
50,50,"Sale hacia Nicaragua el cuarto grupo de extranjeros que se encontraban en albergues de Chiriquí, aún quedan a la espera de su autorización otras 481 personas. @migracionpanama #TReporta https://t.co/5BofwSiGCt"
51,51,"Moradores de varias comunidades en Arraiján, protestan por la falta de agua potable. Solicitan una respuesta por parte de las autoridades. #TReporta https://t.co/XKV3otM0oX"
52,52,Presentan proyecto para protección de empleo en empresas afectadas por el COVID-19 en #Panamá https://t.co/01SQ6wqTgf https://t.co/kH02rgiikf
53,53,"Inicia la #EdiciónMediodía de #TReporta con @massiel2503. Sintoniza la transmisión por @Telemetro, https://t.co/0DJQEaUz3H o @MedcomGo https://t.co/RlUDDx16yx"
54,54,"Sanofi, cerca de acuerdo con UE por 300 millones de dosis de vacuna anti-COVID
https://t.co/GSYA5p6Dmy"
55,55,Defensa de Ricardo Alberto Martinelli Linares presenta amparo en la Dirección de Gestión Penal en Guatemala. Pide que se le autorice un plazo para solicitar al @PARLACEN documento que haga constar que Linares es diputado de ese ente. @Sosegueda2287 @CanalAntigua #TReporta https://t.co/RzPnsRV8oy
56,56,"La ministra del @MitradelPma presentó al Pleno de la @asambleapa, un proyecto de ley que establece medidas para proteger el empleo en las empresas afectadas por el COVID-19 en Panamá y a los trabajadores con contratos suspendidos hasta el 31 de diciembre de 2020. #TReporta https://t.co/79AZbsX7Ib"
57,57,Más de 90 contagios en bases militares de EEUU en Okinawa https://t.co/qxCD0OFGra https://t.co/saZH11GeO9
58,58,Ifarhu reiniciará los pagos de Planilla Global y Beca Universitaria en Veraguas https://t.co/gVMucW3JTf https://t.co/1FoQUpk17g
59,59,RT @violaguevara: Embajada de China en Panamá @weiasecas entrega donación de tablets a Alcaldesa de Penonomé. @TReporta https://t.co/sRgsNY…
60,60,"EEUU abrumado por el peor brote de virus en el mundo
https://t.co/pCBSDbza0u"
61,61,"El 2do vicepresidente de la @asambleapa, @HDTitoRodrguez1, declara abierta la sesión correspondiente a hoy lunes 13 de julio de 2020. #TReporta https://t.co/MOkFGtkv3w"
62,62,"Unos 7 panameños residentes salieron desde Roma hacia Ámsterdam, para abordar un vuelo de repatriación y retornar a Panamá. @embpanamaita #TReporta https://t.co/L1fFY5OI0J"
63,63,"NFL: Washington renuncia al nombre 'Redskins' tras 87 años
https://t.co/TGVnraR89h"
64,64,"Rescatan a un pichón de halcón que se encontraba en la orilla de la carretera Interamericana, en Chepo. @senafrontpanama informó que una vez este animal sea revisado por funcionarios de @MiAmbientePma, será liberado en su hábitat natural. #TReporta https://t.co/Aa1NqKKBcJ"
65,65,VÍDEO| Ocupación en cuidados intensivos de hospitales privados en #Panamá está al 100% https://t.co/8PDUpQ38Hs https://t.co/9IqX3MUUqN
66,66,"Unidades de @ProtegeryServir alimentan a varios gatos que se mantienen en la Cinta Costera. La entidad indicó que la fauna doméstica también se ha visto afectada, en medio de la pandemia en Panamá. #TReporta https://t.co/IyWKk25zGu"
67,67,"Reportan un accidente de tránsito en la salida del Corredor Norte, por Tinajitas, en dirección a Panamá Norte. Mucha precaución por el área. @TraficoCPanama #TReporta https://t.co/euEyhnK6G7"
68,68,Jueza se inhibe de conocer solicitud defensa de Martinelli sobre afectación de derechos https://t.co/wYCPyLhc4G https://t.co/rU2Ub6IOCl
69,69,Karol G sale positiva por coronavirus https://t.co/MjCdSjqGU4 https://t.co/Iwhr0k1Wr0
70,70,Ordenan prisión preventiva en caso presunta venta medicina donada en Ecuador https://t.co/22CT3ONruT https://t.co/bGCNbdHyX5
71,71,"Reportan un accidente de tránsito en la vía Interamericana, por El Espino en La Chorrera, en dirección a Panamá Centro. @TraficoCPanama #TReporta https://t.co/PmzS15Wvvx"
72,72,"Realizan allanamientos en la barraca Tres Reyes Magos, en San Miguel, Calidonia. El @PGN_PANAMA informó que buscan ubicar a 2 personas señaladas por haber cometido homicidio. #TReporta https://t.co/YJFlcHSRbI"
73,73,México supera las 35.000 muertes por COVID-19 https://t.co/9cQqCIe737 https://t.co/TznGgYceME
74,74,VÍDEO| Médicos del Hospital Rafael Hernández exigen insumos para enfrentar el COVID-19 https://t.co/5ElJKRAlG5 #Panamá https://t.co/KAflnvk4tZ
75,75,"Realizan labores de limpieza en diferentes avenidas de la ciudad capital, en medio de la pandemia del COVID-19, informa @AAUD_Panama. #TReporta https://t.co/UXHrxoBoBU"
76,76,VÍDEO| Encuentra 24 y OLX fusionan operaciones en Centroamérica https://t.co/dtQQbdFf0Q #Panamá https://t.co/Ske2jRixaa
77,77,"#AvancesTR Camas de cuidados intensivos de los hospitales privados están al 100% de su capacidad, mientras los casos de COVID-19 van en aumento. Los detalles completos de esta y otras informaciones en la #EdiciónMediodía de #TReporta https://t.co/hqOJCaWiPW"
78,78,"Justicia israelí rechaza demanda de revocar licencia a programa de espionaje Pegasus
https://t.co/aVRDlLLRnN"
79,79,VÍDEO| Presentan iniciativa para que se modifique la figura de secuestro de bienes https://t.co/KJsDKO2ppU #Panamá https://t.co/PwG7dTst5I
80,80,VÍDEO| Glosas de @flormizrachi: 13 de julio de 2020 https://t.co/MRxzrEu0pN https://t.co/l6w4leZVJ6
81,81,VÍDEO| Cervecería Nacional adapta fábrica para confección de mascarillas https://t.co/2ureQ4CgeN #Panamá https://t.co/lisQSvck8o
82,82,"Aprehenden a 2 personas por venta ilegal de cerveza, licor y cigarrillos, en el corregimiento Rodolfo Aguilar, en la provincia de Chiriquí. @senafrontpanama #TReporta https://t.co/yONGy6HNH4"
83,83,China reporta 141 muertos o desaparecidos en inundaciones https://t.co/qd5KzFBKDc https://t.co/sL0uWsLuuX
84,84,"El meteorólogo de @Etesatransmite, Roberto Martínez, comparte cuáles son las condiciones del tiempo esperadas para hoy lunes 13 de julio. #TReporta https://t.co/ZKcukGmjAr"
85,85,"RT @Taysha_Nurse: Asociación de empleados de la CSS (sección de aseo) protesta solicitando insumos para enfrentar el Covid19, pruebas de tr…"
86,86,"Italia prohíbe la entrada de panameños por estar entre los países con más riesgo de contagio del COVID-19. ""Ellos dicen que los nuevos rebrotes provienen de personas que llegan a suelo italiano procedente de estos países"", Jenny Lee Martínez, periodista en Italia. #TReporta https://t.co/RUP2Kzq3Dq"
87,87,Reporte: Maduro elude sanciones con petroleros clandestinos https://t.co/Vph5HGtGu8 https://t.co/oPlzXSJUud
88,88,Parita es la mascota oficial de los Juegos Centroamericanos y del Caribe Panamá 2022. El comité organizador señaló que la decisión se dio tras una reñida votación. Vía: juegospanama2022 #DeportesTR https://t.co/XDM4T67QfU
89,89,"Muere la actriz Kelly Preston, esposa de John Travolta, a los 57 años
https://t.co/EI27PYVlQb"
90,90,"Unas 1,333 personas fueron retenidas durante el fin de semana, por incumplir el toque de queda, a nivel nacional. De esta cifra 1,122 hombres, 170 mujeres y 41 menores de edad, fueron sancionados porque no acataron la medida. @ProtegeryServir #TReporta https://t.co/3hwXz1HmJm"
91,91,"Médicos del Hospital Regional de Chiriqui exigen insumos ante el COVID-19. Además están preocupados por la capacidad hospitalaria. ""El cuarto de urgencia en la noche de ayer estaba lleno, el área de positivos estaba lleno, intensivos estaba lleno"", Dra. Rocío Arroyo. #TReporta https://t.co/F8nZgMcjAy"
92,92,"VÍDEO| Italia prohibió ingreso de personas procedentes de #Panamá por alto contagio, explica periodista https://t.co/WWFxRrBCmI https://t.co/zxJj3StrBb"
93,93,"Detienen en Francia a uno de los hombres más buscados por pedofilia en la ""darknet""
https://t.co/cYLCWFSl3Z"
94,94,Realizan audiencia de afectación de derechos a Martinelli en caso Caja de Ahorros https://t.co/HJSfiP1jij https://t.co/9WIJmR9Ftw
95,95,VÍDEO| Exministro de Salud se refiere a propuesta de cuarentena total https://t.co/c2EVfV4s7B #Panamá https://t.co/XzWUcCQMhk
96,96,¡Una buena acción! Alimentan a una manada de mapaches que se encontraban en la Calzada de Amador. Unidades de la Policía Ambiental indicaron que están velando por el bienestar de la fauna silvestre. @ProtegeryServir #TReporta https://t.co/NEp4FGYbDi
97,97,"India suma 28.000 nuevos casos del virus, retoma cuarentenas https://t.co/oNmj8dPSBu https://t.co/g1hzL9RNB0"
98,98,"El abogado Ernesto Cedeño, habló de una propuesta legislativa que presentó ante la Asamblea Nacional. La misma busca modificar la figura del secuestro civil en Panamá. #TReporta https://t.co/RsjE2A4iZ6"
99,99,VÍDEO| Mitradel: Hay 271 mil trabajadores con contratos suspendidos https://t.co/fWkKYFXTd4 #Panamá https://t.co/AvbmwB2vIY
100,100,"Presentarán ante la @asambleapa un proyecto de ley sobre la protección del empleo en Panamá, la Ministra del @MitradelPma, brindó detalles del tema. ""Este proyecto establece la prórroga de la suspensión de los contratos hasta el 31 de diciembre de 2020"", dijo. #TReporta https://t.co/naCeVr5ygf"
101,101,"Karol G sale positiva por conoravirus
https://t.co/E6gH2t7LPs"
102,102,"Análisis del COVID-19 en Panamá. ""Nosotros tenemos en este momento un 100% de ocupación en las unidades de cuidados intensivos en todos los hospitales privados del país y tenemos aproximadamente un 60% de ocupación en las salas"", dijo José Terán, exministro de Salud. #TReporta https://t.co/nYo71gflMY"
103,103,Gracias por acompañarnos en la #EdiciónMatutina de #TReporta https://t.co/L0k7FdOSee
104,104,"""Se está recibiendo un promedio de 15 pacientes por día en la parte del hospital"", médica Rocío Arroyo. #TReporta"
105,105,"""En la provincia también se tiene que hace un llamado para disminuir la movilidad de las personas, porque la cantidad de casos que salen cada día van en incremento"", médica Rocío Arroyo. #TReporta https://t.co/prjn0CVpZg"
106,106,VÍDEO| Autoridades de salud en San Miguelito continúan con acciones para enfrentar el COVID-19 https://t.co/kRXYxqESgE #Panamá https://t.co/00YpPJsPJI
107,107,Una juez revoca orden catalana de confinamiento por el virus https://t.co/0g3G6C19yk https://t.co/ufH7g0cNr0
108,108,"""La semana pasada volvimos a salir. (...) El cuarto de urgencia del Hospital Rafael Hernández de Chiriqui en la noche de ayer estaba lleno, el área de positivos estaba lleno, intensivos estaba lleno"", médica Rocío Arroyo. #TReporta"
109,109,"""Encuentra24 hizo la fusión con OLX y tiene las operaciones ahora en Guatemala, El Salvador, Costa Rica y Panamá"", Boris Métrauz, cofundador de Encuentra24. #TReporta"
110,110,"""Hemos dicho que si invertimos toda la inteligencia para mejorar el proceso, sería en beneficio de los usuarios"", Boris Métrauz, cofundador de Encuentra24. #TReporta"
111,111,"""Ambas empresas han invertido muchos recursos tecnológicos, tratando de ganar"", Boris Métrauz, cofundador de Encuentra24. #TReporta"
112,112,"""Estábamos con OLX desde hace 5 años como competencia"", Boris Métrauz, cofundador de Encuentra24. #TReporta https://t.co/DanDDV8bUS"
113,113,VÍDEO| Corte rechazó solicitud de aclaración de fallo sobre plataformas de transporte https://t.co/hB11Izq4ku #Panamá https://t.co/uPH2r4drWV
114,114,"""Vamos exportar desde Panamá para otros países de América Latina"", Danilo Pires, presidente Cervecería Nacional. #TReporta"
115,115,"""Vamos a enviar ese insumo para todo nuestro grupo interno"", Danilo Pires, presidente Cervecería Nacional. #TReporta"
116,116,"Reconvierten su fábrica para elaborar mascarillas quirúrgicas. ""Hicimos con un aporte inicial de 1 millón de dólares"", Danilo Pires, presidente Cervecería Nacional. #TReporta"
117,117,"""Sabemos que nosotros con la pandemia hemos afrontado cambios sociales y culturales. Buscamos adaptarnos"", Danilo Pires, presidente Cervecería Nacional. #TReporta https://t.co/YKRYPHXLId"
118,118,Tres misiones se preparan para viajar a Marte https://t.co/l7yeXlMWJa https://t.co/G84XxxpzP9
